"V1","V2","V3"
0,-0.0242807178810907,0
0,-0.284857234148864,0
0,-0.543394770639459,0
0,-0.0539447485740873,0
0,-0.183584243467483,0
0,0.316113256882969,0
0,-0.26479829118238,0
0,0.290275327775285,0
0,-0.115707517166819,0
0,-0.135662126187631,0
0,0.0947536571120638,0
0,-0.119614108571858,0
0,0.162878247046381,0
0,0.192241316041672,0
0,-0.174719716773113,0
0,0.202389951376328,0
0,0.172676384248228,0
0,0.131016274021184,0
0,0.259876524332393,0
0,0.165828425572661,0
0.0881816919086177,0,0
0.0630488903829077,0,0
-0.261035167314307,0,0
-0.0522919981362679,0,0
0.0953576227654116,0,0
0.395824751205996,0,0
0.134702959758845,0,0
0.184455232387824,0,0
-0.324516596710941,0,0
-0.585925497697035,0,0
0.0588824173738252,0,0
-0.273476718817966,0,0
0.17372305430363,0,0
0.00962307154267333,0,0
0.136970854605992,0,0
0.0939018352799132,0,0
-0.108649631489213,0,0
-0.241894158590977,0,0
-0.208994896314296,0,0
0.0266918325485944,0,0
0,0,-0.145782146059001
0,0,-0.142511357448011
0,0,-0.14820877340446
0,0,0.0695195503627985
0,0,-0.102904451980376
0,0,-0.23632109584505
0,0,-0.807660662031617
0,0,-0.366200938382039
0,0,-0.114146478826186
0,0,-0.256425414145356
